,FROM,TO,TYPE,R,X,B,LIM1,LIM2,LIM3,TAP,TAPMIN,TAPMAX,STEP,TANG
0,N1,N2,0,0.0062638683431952,0.0543569711538461,0,0,0,0,0,0,0,0,0
1,N2,N3,0,0.0002373292344674,3.778111131656805e-05,0,0,0,0,0,0,0,0,0
2,N3,N4,0,0.0002223402366863,3.5394970414201185e-05,0,0,0,0,0,0,0,0,0
3,N4,N5,0,0.0001938487703402,3.085933339497041e-05,0,0,0,0,0,0,0,0,0
4,N5,N6,0,0.0003053879437869,4.861556952662722e-05,0,0,0,0,0,0,0,0,0
5,N6,N7,0,0.0207955334689349,0.0033104997226331,0,0,0,0,0,0,0,0,0
6,N7,N8,0,0.0009314002403846,0.0001482722355769,0,0,0,0,0,0,0,0,0
7,N8,N9,0,0.0007752218934911,0.0001234097633136,0,0,0,0,0,0,0,0,0
8,N9,N10,0,0.0006803190643491,0.0001083019138313,0,0,0,0,0,0,0,0,0
9,N10,N11,0,0.0005076466346153,8.081370192307691e-05,0,0,0,0,0,0,0,0,0
10,N11,N12,0,0.0004765552884615,7.58641826923077e-05,0,0,0,0,0,0,0,0,0
11,N12,N13,0,0.0002930379992603,4.664954696745562e-05,0,0,0,0,0,0,0,0,0
12,N13,N14,0,0.0007295332840236,0.000116136464497,0,0,0,0,0,0,0,0,0
13,N14,N15,0,0.0059098298816568,0.0009408025147928,0,0,0,0,0,0,0,0,0
14,N15,N16,0,0.0017717446375739,4.41820451183432e-05,0,0,0,0,0,0,0,0,0
15,N15,N17,0,0.0071666789940828,0.0011408838757396,0,0,0,0,0,0,0,0,0
16,N16,N18,0,0.0008083332562869,2.01574288091716e-05,0,0,0,0,0,0,0,0,0
17,N17,N19,0,0.0004931112241124,7.849976886094673e-05,0,0,0,0,0,0,0,0,0
18,N18,N20,0,0.0008474056028106,2.1131776997041423e-05,0,0,0,0,0,0,0,0,0
19,N19,N21,0,0.0005537063609467,8.814607988165681e-05,0,0,0,0,0,0,0,0,0
20,N20,N22,0,0.000770362056213,1.9210539940828404e-05,0,0,0,0,0,0,0,0,0
21,N21,N23,0,0.0009015459504437,0.0001435196468195,0,0,0,0,0,0,0,0,0
22,N22,N24,0,0.0009404708302514,2.3452547152366863e-05,0,0,0,0,0,0,0,0,0
23,N23,N25,0,0.001640130362426,0.0002610969859467,0,0,0,0,0,0,0,0,0
24,N24,N26,0,0.0010259381471893,2.5583848002958583e-05,0,0,0,0,0,0,0,0,0
25,N25,N27,0,0.0313916188979289,0.0024021412721893,0,0,0,0,0,0,0,0,0
26,N25,N28,0,0.0205528642751479,0.0032718685281065,0,0,0,0,0,0,0,0,0
27,N26,N29,0,0.0010013458764792,2.4970589866863907e-05,0,0,0,0,0,0,0,0,0
28,N27,N30,0,0.0086467964127218,0.0006616678994082,0,0,0,0,0,0,0,0,0
29,N27,N31,0,0.008424579326923,0.0006446634615384,0,0,0,0,0,0,0,0,0
30,N28,N32,0,0.0054714996301775,0.0008710234837278,0,0,0,0,0,0,0,0,0
31,N29,N33,0,0.0026847785687869,6.69503975591716e-05,0,0,0,0,0,0,0,0,0
32,N30,N34,0,0.0198017751479289,0.0015152662721893,0,0,0,0,0,0,0,0,0
33,N31,N35,0,0.0002852990939349,2.1831582840236687e-05,0,0,0,0,0,0,0,0,0
34,N32,N36,0,0.0304432091346153,0.0023295673076923,0,0,0,0,0,0,0,0,0
35,N32,N37,0,0.0165443897928994,0.0026337481508875,0,0,0,0,0,0,0,0,0
36,N33,N38,0,0.0025047411242603,6.246079881656805e-05,0,0,0,0,0,0,0,0,0
37,N35,N39,0,0.000410208487426,3.1389866863905325e-05,0,0,0,0,0,0,0,0,0
38,N36,N40,0,0.0021266919378698,0.0001627381656804,0,0,0,0,0,0,0,0,0
39,N36,N41,0,0.0096026488535502,0.0007348113905325,0,0,0,0,0,0,0,0,0
40,N37,N42,0,0.0114807063609467,0.0018276460798816,0,0,0,0,0,0,0,0,0
41,N37,N43,0,0.0001663299741124,6.81351701183432e-05,0,0,0,0,0,0,0,0,0
42,N38,N44,0,0.0006210098927514,1.5486140902366865e-05,0,0,0,0,0,0,0,0,0
43,N39,N45,0,0.0005260643953402,4.0255362426035506e-05,0,0,0,0,0,0,0,0,0
44,N40,N46,0,0.000958563701923,7.335096153846153e-05,0,0,0,0,0,0,0,0,0
45,N41,N47,0,0.0231057923446745,0.0017680954142011,0,0,0,0,0,0,0,0,0
46,N42,N48,0,0.0086754752218934,0.0013810734097633,0,0,0,0,0,0,0,0,0
47,N43,N49,0,8.008394970414201e-05,3.280547337278107e-05,0,0,0,0,0,0,0,0,0
48,N44,N50,0,0.0008828258136094,2.2015051775147932e-05,0,0,0,0,0,0,0,0,0
49,N45,N51,0,0.0012812037721893,9.803994082840235e-05,0,0,0,0,0,0,0,0,0
50,N46,N52,0,0.0010158723187869,7.773631656804735e-05,0,0,0,0,0,0,0,0,0
51,N48,N53,0,0.0012508287721893,0.0001991229659763,0,0,0,0,0,0,0,0,0
52,N48,N54,0,0.0013184751294378,0.0002098917806952,0,0,0,0,0,0,0,0,0
53,N49,N55,0,8.920811760355031e-05,3.6543084319526634e-05,0,0,0,0,0,0,0,0,0
54,N50,N56,0,0.001608848372781,4.011989644970415e-05,0,0,0,0,0,0,0,0,0
55,N51,N57,0,0.0010969443417159,8.394008875739645e-05,0,0,0,0,0,0,0,0,0
56,N52,N58,0,0.000967548076923,7.403846153846154e-05,0,0,0,0,0,0,0,0,0
57,N53,N59,0,0.0056659236316568,0.0009019743897928,0,0,0,0,0,0,0,0,0
58,N54,N60,0,0.0001347731508875,2.1454918639053253e-05,0,0,0,0,0,0,0,0,0
59,N55,N61,0,7.69530325443787e-05,3.152292899408285e-05,0,0,0,0,0,0,0,0,0
60,N56,N62,0,0.0014314903846153,3.569711538461539e-05,0,0,0,0,0,0,0,0,0
61,N57,N63,0,0.0052583579881656,0.0004023786982248,0,0,0,0,0,0,0,0,0
62,N58,N64,0,0.0005794656065088,4.4341715976331365e-05,0,0,0,0,0,0,0,0,0
63,N59,N65,0,0.0011518642751479,0.0001833685281065,0,0,0,0,0,0,0,0,0
64,N59,N66,0,0.0439027598002958,0.0033595155325443,0,0,0,0,0,0,0,0,0
65,N60,N67,0,0.0001525702662721,2.4288091715976328e-05,0,0,0,0,0,0,0,0,0
66,N61,N68,0,7.370086908284024e-05,3.0190717455621308e-05,0,0,0,0,0,0,0,0,0
67,N62,N69,0,0.001527675526997,3.809568694526627e-05,0,0,0,0,0,0,0,0,0
68,N63,N70,0,0.0185864922337278,0.0014222707100591,0,0,0,0,0,0,0,0,0
69,N64,N71,0,0.0011368689903846,8.699519230769232e-05,0,0,0,0,0,0,0,0,0
70,N65,N72,0,0.0136088553994082,0.0021664321375739,0,0,0,0,0,0,0,0,0
71,N66,N73,0,0.0214593657544378,0.0016421079881656,0,0,0,0,0,0,0,0,0
72,N66,N74,0,0.0214593657544378,0.0016421079881656,0,0,0,0,0,0,0,0,0
73,N67,N75,0,0.0003701066013313,5.8918315458579886e-05,0,0,0,0,0,0,0,0,0
74,N68,N76,0,0.000180726053994,7.403235946745562e-05,0,0,0,0,0,0,0,0,0
75,N69,N77,0,0.0071403841531065,0.0001780599574704,0,0,0,0,0,0,0,0,0
76,N71,N78,0,0.0057616956360946,0.0004408949704142,0,0,0,0,0,0,0,0,0
77,N72,N79,0,0.004743698224852,0.0007551627218934,0,0,0,0,0,0,0,0,0
78,N75,N80,0,0.0002136396079881,3.400989275147929e-05,0,0,0,0,0,0,0,0,0
79,N76,N81,0,0.0005731573594674,0.000234787352071,0,0,0,0,0,0,0,0,0
80,N77,N82,0,0.0093758949704142,0.0002338069526627,0,0,0,0,0,0,0,0,0
81,N78,N83,0,0.0217113535502958,0.0016613905325443,0,0,0,0,0,0,0,0,0
82,N79,N84,0,0.0010352304918639,0.000164801266642,0,0,0,0,0,0,0,0,0
83,N80,N85,0,0.0002293089866863,3.650434541420118e-05,0,0,0,0,0,0,0,0,0
84,N81,N86,0,0.0011041087278106,0.0004522855029585,0,0,0,0,0,0,0,0,0
85,N82,N87,0,0.0056975152551775,0.000142079095784,0,0,0,0,0,0,0,0,0
86,N84,N88,0,0.0020992843934911,0.0003341910133136,0,0,0,0,0,0,0,0,0
87,N85,N89,0,0.0002160724852071,3.439718934911243e-05,0,0,0,0,0,0,0,0,0
88,N86,N90,0,0.0002628358912721,0.000107667714497,0,0,0,0,0,0,0,0,0
89,N87,N91,0,0.0020565745192307,5.128485576923078e-05,0,0,0,0,0,0,0,0,0
90,N88,N92,0,0.0019797229105029,0.0003151576830621,0,0,0,0,0,0,0,0,0
